Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
133,25,1945,4,7864,0.006711721420288086,0.0
133,50,3458,6,77250,0.06273603439331055,0.0
133,75,4653,8,759412,0.6290919780731201,36.0625
134,12,1026,3,1895,0.003920078277587891,5.921875
134,25,1973,4,7606,0.006486654281616211,0.0
134,50,3521,6,74744,0.06009197235107422,0.0
134,75,4688,8,731944,0.598297119140625,0.0
135,12,1021,3,2030,0.0038840770721435547,0.0
135,25,1985,4,8015,0.006849050521850586,0.0
135,50,3561,6,84949,0.06929397583007812,0.0
135,75,4780,8,796253,0.6651949882507324,16.515625
136,12,1043,3,1747,0.0038051605224609375,0.0
136,25,2026,4,8136,0.0070607662200927734,0.0
136,50,3641,6,87702,0.07192587852478027,0.0
136,75,4825,7,832056,0.6771650314331055,0.0
137,12,1061,3,2044,0.003943920135498047,0.0
137,25,2056,4,7833,0.00677037239074707,0.0
137,50,3702,7,90744,0.08270788192749023,0.0
137,75,4894,8,822209,0.6847500801086426,10.71875
138,12,1068,3,1999,0.004148960113525391,4.90625
138,25,2107,4,8726,0.007614850997924805,0.0
138,50,3722,7,91886,0.07617831230163574,0.0
138,75,4967,8,887277,0.7394449710845947,0.0
139,12,1078,2,2089,0.004231929779052734,0.0
139,25,2121,4,7759,0.00677800178527832,0.0
139,50,3759,6,91313,0.07484698295593262,0.0
139,75,5095,9,1076834,0.8861007690429688,38.53125
140,12,1098,3,2159,0.004585981369018555,0.0
140,25,2175,4,8862,0.007592201232910156,0.0
140,50,3865,7,103081,0.09280729293823242,0.0
140,75,5127,8,965117,0.7980880737304688,0.0
141,12,1126,3,2220,0.004935026168823242,0.0
141,25,2211,4,9075,0.00791788101196289,0.0
141,50,3904,7,97657,0.08215808868408203,18.03125
141,75,5217,8,1071777,0.8944928646087646,28.0
142,12,1135,3,2297,0.004839897155761719,0.0
142,25,2174,4,8505,0.007339954376220703,0.0
142,50,3942,7,100292,0.08356308937072754,0.515625
142,75,5306,8,1200615,1.0228400230407715,42.625
143,12,1144,3,2323,0.005153179168701172,0.0
143,25,2226,4,8995,0.0076999664306640625,0.0
143,50,3978,7,109585,0.09294605255126953,0.0
143,75,5381,8,1174603,0.9749181270599365,3.421875
